candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population,poll_id,poll_type,nb_people,start_date,end_date,folder,pdf_url,id,institut,commanditaire,mention1,mention2,mention3,mention4,mention5,mention6,mention7,nombre_mentions,question,name,surname,parti,annonce_candidature,retrait_candidature,second_round,candidate
GL,7,31,25,15,22.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Gérard,Larcher,Les Républicains,,,,Gérard Larcher
MT,2,15,20,26,37.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Marine,Tondelier,Europe Écologie Les Verts,,,,Marine Tondelier
LW,7,21,30,24,18.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Laurent,Wauquiez,Les Républicains,,,,Laurent Wauquiez
YBP,7,33,13,11,36.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Yaël,Braun-Pivet,,,,,Yaël Braun-Pivet
JLM,6,3,6,77,8.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Jean-Luc,Mélenchon,La France Insoumise,,,,Jean-Luc Mélenchon
EZ,3,7,11,73,6.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Eric,Zemmour,,,,,Eric Zemmour
MBa,13,44,18,9,16.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Michel,Barnier,Les Républicains,,,,Michel Barnier
GA,19,56,15,3,7.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Gabriel,Attal,La République En Marche,,,,Gabriel Attal
BR,18,33,17,12,20.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Bruno,Retailleau,Les Républicains,,,,Bruno Retailleau
SL,5,38,15,9,33.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Sébastien,Lecornu,Les Républicains,,,,Sébastien Lecornu
VP,7,22,34,23,14.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Valérie,Pécresse,Les Républicains,,,,Valérie Pécresse
EB,7,45,28,10,10.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Elisabeth,Borne,La République En Marche,,,,Elisabeth Borne
MV,7,29,27,23,14.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Manuel,Valls,,,,,Manuel Valls
NDA,3,15,22,46,14.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Nicolas,Dupont-Aignan,,,,,Nicolas Dupont-Aignan
FRe,6,21,16,10,47.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",François, Rebsamen,,,,,François  Rebsamen
EP,14,59,11,4,12.0,,,pt2,macron,elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Edouard,Philippe,Horizons,,,,Edouard Philippe
JB,5,21,17,50,7.0,,,pt2,macron,elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Jordan,Bardella,Rassemblement National,,,,Jordan Bardella
MLP,5,17,17,52,9.0,,,pt2,macron,elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Marine,Le Pen,Rassemblement National,,,,Marine Le Pen
